,TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
157,1757163600,9/6/2025,13,110847.05,110965.04,110949.49,110838.28,229.94,25499112.16,57.8478815034768,41
158,1757167200,9/6/2025,14,110949.49,111010.23,110833.81,110807.63,237.42,26332109.23,57.8478815034768,41
159,1757170800,9/6/2025,15,110833.81,110862.9,110421.88,110394.82,536.46,59340762.81,57.8478815034768,41
160,1757174400,9/6/2025,16,110421.88,110436.89,110302.55,110019.89,1314.03,144915048.99,57.8478815034768,41
161,1757178000,9/6/2025,17,110302.55,110313.69,110191.99,110041.54,377.13,41557805.07,57.8478815034768,41
162,1757181600,9/6/2025,18,110191.99,110319.07,110269.76,110103.77,265.44,29258299.65,57.8478815034768,41
163,1757185200,9/6/2025,19,110269.76,110300.83,110082.04,110053.59,240.35,26479426.47,57.8478815034768,41
164,1757188800,9/6/2025,20,110082.04,110199.44,110199.44,110081.44,228.56,25169582.91,57.8478815034768,41
165,1757192400,9/6/2025,21,110199.44,110253.81,110235.26,110137.78,196.36,21640677.55,57.8478815034768,41
166,1757196000,9/6/2025,22,110235.26,110261.85,110204.98,110126.73,246.42,27156330.14,57.8478815034768,41
167,1757199600,9/6/2025,23,110204.98,110205.14,110204.41,110201.18,1.824,201054.04,57.8478815034768,41
168,1757203200,9/7/2025,0,110230.16,110394.67,110386.33,110215.7,184.37,20335012.74,57.8566376553178,40
169,1757206800,9/7/2025,1,110386.33,110616.74,110584.27,110363.41,272.31,30092837.52,57.8566376553178,40
170,1757210400,9/7/2025,2,110584.27,110722.82,110693.39,110478.28,178.78,19768855.15,57.8566376553178,40
171,1757214000,9/7/2025,3,110693.39,110761.81,110662.66,110630.01,152.59,16891039.41,57.8566376553178,40
172,1757217600,9/7/2025,4,110662.66,110674.22,110592.18,110530.04,122.04,13496222.55,57.8566376553178,40
173,1757221200,9/7/2025,5,110592.18,110733,110691.48,110592.08,189.46,20963426.35,57.8566376553178,40
174,1757224800,9/7/2025,6,110691.48,110699.98,110543.95,110519.87,89.95,9949022.9,57.8566376553178,40
175,1757228400,9/7/2025,7,110543.95,110936.5,110782.35,110510.73,332.53,36826369.94,57.8566376553178,40
176,1757232000,9/7/2025,8,110782.35,111377.92,111091.2,110762.05,543.83,60425231.21,57.8566376553178,40
177,1757235600,9/7/2025,9,111091.2,111261.64,111128.47,110914.24,357.94,39768003.34,57.8566376553178,40
178,1757239200,9/7/2025,10,111128.47,111234.85,111227.68,111060.21,180.09,20017834.28,57.8566376553178,40
179,1757242800,9/7/2025,11,111227.68,111296.73,111296.73,111206.25,135.92,15122046.24,57.8566376553178,40
180,1757246400,9/7/2025,12,111296.73,111298.78,111135.52,111087.36,193.69,21531272.97,57.8566376553178,40
181,1757250000,9/7/2025,13,111135.52,111244.09,111220.49,111063.21,179.07,19904185.78,57.8566376553178,40
182,1757253600,9/7/2025,14,111220.49,111406.09,111145.2,111076.04,395.62,43996837.58,57.8566376553178,40
183,1757257200,9/7/2025,15,111145.2,111370.52,111329.3,111119,237.33,26407982.41,57.8566376553178,40
184,1757260800,9/7/2025,16,111329.3,111367.32,111210.38,111171.85,241.72,26890721.72,57.8566376553178,40
185,1757264400,9/7/2025,17,111210.38,111244.89,110985.59,110906.36,406.83,45180160.91,57.8566376553178,40
186,1757268000,9/7/2025,18,110985.59,111073.39,111063.28,110879.17,245.86,27285619.03,57.8566376553178,40
187,1757271600,9/7/2025,19,111063.28,111298.17,111265.09,111061.38,239.91,26674701.75,57.8566376553178,40
188,1757275200,9/7/2025,20,111265.09,111367.22,111338.79,111155.45,346.15,38500858.85,57.8566376553178,40
189,1757278800,9/7/2025,21,111338.79,111340.75,111056.8,111056.8,179.21,19927417.46,57.8566376553178,40
190,1757282400,9/7/2025,22,111056.8,111359.06,111257.77,111016.26,457.51,50865115.85,57.8566376553178,40
191,1757286000,9/7/2025,23,111257.77,111295.18,111287.41,111257.77,24.97,2778283.57,57.8566376553178,40
192,1757289600,9/8/2025,0,111143.24,111288.1,110838.48,110737.24,876.46,97318163.65,57.6983921303783,42
193,1757293200,9/8/2025,1,110838.48,110986.39,110895.37,110730.66,741.76,82236134.92,57.6983921303783,42
194,1757296800,9/8/2025,2,110895.37,111357.78,111237.6,110628.16,723.5,80326444.7,57.6983921303783,42
195,1757300400,9/8/2025,3,111237.6,111344.31,111051.94,111025.42,475.82,52903808.64,57.6983921303783,42
196,1757304000,9/8/2025,4,111051.94,111207.33,110983.41,110929.91,388.09,43089036.84,57.6983921303783,42
197,1757307600,9/8/2025,5,110983.41,111056.1,111036.48,110911.21,281.6,31249790.33,57.6983921303783,42
198,1757311200,9/8/2025,6,111036.48,111198.09,111124.25,110924.41,177.67,19735731.82,57.6983921303783,42
199,1757314800,9/8/2025,7,111124.25,111608.36,111275.64,111119.33,367.35,40927157.85,57.6983921303783,42
200,1757318400,9/8/2025,8,111275.64,111891.04,111668.85,111256.22,613.09,68435918.42,57.6983921303783,42
201,1757322000,9/8/2025,9,111668.85,112084.26,112084.26,111587.09,756.66,84667186.23,57.6983921303783,42
202,1757325600,9/8/2025,10,112084.26,112187.05,112044.19,111915.01,628.02,70380215.36,57.6983921303783,42
203,1757329200,9/8/2025,11,112044.19,112116.46,112059.45,111764.71,449.73,50326890.77,57.6983921303783,42
204,1757332800,9/8/2025,12,112059.45,112148.96,112034.98,111923.9,522.76,58560303.25,57.6983921303783,42
205,1757336400,9/8/2025,13,112034.98,112359.13,111900.54,111872.67,1588.92,178236777.76,57.6983921303783,42
206,1757340000,9/8/2025,14,111900.54,112782.93,112652.7,111887.8,1708.09,191937306.7,57.6983921303783,42
207,1757343600,9/8/2025,15,112652.7,112937.76,112640.41,112538.22,1002.45,112998549.52,57.6983921303783,42
208,1757347200,9/8/2025,16,112640.41,112684.14,112417.24,112319.11,1009.53,113545867.11,57.6983921303783,42
209,1757350800,9/8/2025,17,112417.24,112563.75,112229,112103.89,841.97,94611513.44,57.6983921303783,42
210,1757354400,9/8/2025,18,112229,112537.88,112498.18,112216.04,732.1,82268824.34,57.6983921303783,42
211,1757358000,9/8/2025,19,112498.18,112498.23,112099.99,112009.76,692.5,77681845.41,57.6983921303783,42
212,1757361600,9/8/2025,20,112099.99,112167.53,111996.6,111916.48,561.4,62893492.26,57.6983921303783,42
213,1757365200,9/8/2025,21,111996.6,112348.39,112345.36,111956.74,319.75,35871360.66,57.6983921303783,42
214,1757368800,9/8/2025,22,112345.36,112520.5,112259.96,112230.14,602.57,67725617.82,57.6983921303783,42
215,1757372400,9/8/2025,23,112259.96,112278.45,112268.79,112259.96,4.387,492496.72,57.6983921303783,42
216,1757376000,9/9/2025,0,112089.06,112115.75,111663.31,111473.24,802.32,89676802.72,57.5529834437509,44
217,1757379600,9/9/2025,1,111663.31,111754.23,111383.71,111287.46,690.32,76926739.77,57.5529834437509,44
218,1757383200,9/9/2025,2,111383.71,111456.83,111340.75,111131.2,632.58,70406233.16,57.5529834437509,44
219,1757386800,9/9/2025,3,111340.75,111762.01,111720.81,111255.83,394.97,44048829.11,57.5529834437509,44
